id,Train Loss,Val Loss,U Depth,No. Qubits,No. Samples,Ansatz Depth,Mean Epoch Runtime,Epochs
0,0.0003161508657105738,0.3510821750074855,5,3,1,4,0.30764019324861724,290
0,2.891152871742353e-05,0.3188809238223954,5,3,1,4,0.29728286266326903,290
0,0.00037861382761539275,0.3469114900128143,5,3,1,4,0.29778128108759033,261
0,0.017943535803110366,0.331449999427355,5,3,2,4,0.3004369607047429,315
0,0.023535801851795046,0.4102518300409298,5,3,2,4,0.3008538048032304,284
0,0.006443789545971024,0.38571337605465694,5,3,2,4,0.30154304902796336,383
0,0.0455459528447929,0.33550878887334346,5,3,4,4,0.3123983181053358,427
0,0.02746957252946891,0.24103771775768057,5,3,4,4,0.30897700573716846,448
0,0.0455459528447929,0.33550878887334346,5,3,4,4,0.3079976320825081,427
0,0.02515658381349417,0.04577059058785493,5,3,8,4,0.32733471551031434,212
0,0.021816378225568256,0.049803952992882095,5,3,8,4,0.32753647407355335,346
0,0.020504579099436038,0.0475171374424328,5,3,8,4,0.3264107578679135,722
0,3.655842265137821e-05,0.3978534110440902,15,3,1,4,0.34465553938452875,335
0,0.0007782826894228156,0.40003357350662583,15,3,1,4,0.34963540420975797,258
0,0.0007697281526704014,0.2769969074859797,15,3,1,4,0.3463107645511627,264
0,0.0004690736618886415,0.2927467910354372,15,3,2,4,0.3466012429288728,687
0,0.00035398239885964244,0.344664462825381,15,3,2,4,0.34604424184507077,777
0,0.003240306663590209,0.40704406789080605,15,3,2,4,0.3493066381435005,392
0,0.04248584756492091,0.38076998144633156,15,3,4,4,0.371215025161175,376
0,0.010701902655148032,0.15537630120474277,15,3,4,4,0.3726949970032872,754
0,0.03811504628267637,0.40649086750519714,15,3,4,4,0.37091358675184555,599
0,0.10184695631428564,0.30219061725342744,15,3,8,4,0.3892022325618057,522
0,0.01861199287217774,0.049847034327422324,15,3,8,4,0.3837270128099542,380
0,0.021287414261803916,0.041513314264620904,15,3,8,4,0.38483333095336736,339
0,0.0011151645798084253,0.4102019392485594,25,3,1,4,0.4008161084035809,267
0,5.270286993874773e-05,0.378723682302456,25,3,1,4,0.39943261788441586,312
0,0.00013189120344780925,0.3765202580262781,25,3,1,4,0.4048666888360478,363
0,0.01545509092502828,0.37840052114528466,25,3,2,4,0.40256890873818046,367
0,0.006428362337893345,0.4005220701513946,25,3,2,4,0.39697766814913066,280
0,0.002775217145049469,0.2786096925998114,25,3,2,4,0.3888471880141006,367
0,0.044617619829317334,0.3588048668170163,25,3,4,4,0.399314894080998,713
0,0.02998817609520399,0.256988493041568,25,3,4,4,0.39985193625299636,1223
0,0.036024401503434555,0.3355508839416772,25,3,4,4,0.4052172214426893,705
0,0.033000628295052015,0.04926637381357302,25,3,8,4,0.4331762656504974,231
0,0.11098739330233487,0.24423426222810307,25,3,8,4,0.4281027546993972,1182
0,0.0684044366403288,0.14579098378190214,25,3,8,4,0.4321734407945526,839
0,0.009513260509302346,0.35222821541216676,5,4,1,4,0.46941691613846714,257
0,0.0008593034070317751,0.40272116157439686,5,4,1,4,0.4703704291058013,671
0,0.005772079604955849,0.42613209853020473,5,4,1,4,0.4727395531497424,316
0,0.038238056552930444,0.30367150240159635,5,4,2,4,0.4714054184300559,280
0,0.07305896858937766,0.42264625347038354,5,4,2,4,0.47507799406574197,292
0,0.0038805837311242097,0.22413432896380703,5,4,2,4,0.4754727224573639,1228
0,0.09965183235941333,0.37595725480179576,5,4,4,4,0.4827357595756506,311
0,0.053613043839795926,0.3793584017238907,5,4,4,4,0.4834536358415227,1047
0,0.039681257150247395,0.4054484436644059,5,4,4,4,0.4822878494926372,661
0,0.07571136186489191,0.19779738714905104,5,4,8,4,0.5104426635123968,1086
0,0.04668307749191214,0.1297358840246411,5,4,8,4,0.5196817223078165,1248
0,0.11825193983374294,0.2519428222836958,5,4,8,4,0.5145089693472419,781
0,0.02511347806951303,0.0481111512639536,5,4,16,4,0.5737500123315727,389
0,0.09703552496249701,0.14043075360666868,5,4,16,4,0.57088569603344,1212
0,0.08956366319491416,0.1316264662629556,5,4,16,4,0.5813653420593778,885
0,0.0006247939135225478,0.40518053053798386,15,4,1,4,0.5728623417840488,483
0,0.011759835194734447,0.40933899232315374,15,4,1,4,0.5714871819908097,338
0,0.0036180458532220072,0.40142384337921333,15,4,1,4,0.5714285047849019,300
0,0.030733686080065103,0.3856018793829765,15,4,2,4,0.5793232675699087,650
0,0.030504320293571197,0.40084380580377055,15,4,2,4,0.5768364950717156,451
0,0.048208651523858226,0.3492342498114209,15,4,2,4,0.5503236832826034,276
0,0.04787984286322744,0.2600151493127545,15,4,4,4,0.6240026975867004,1524
0,0.02968813349483823,0.23043253026232224,15,4,4,4,0.6982275436719259,3000
0,0.0967531900243368,0.40928264915672297,15,4,4,4,0.599000228802205,503
0,0.10051560215092681,0.3263660118961311,15,4,8,4,0.6261876572051569,1338
0,0.13981982859354924,0.27128499386361926,15,4,8,4,0.6485143618678031,657
0,0.04045712981411431,0.1514873266368314,15,4,8,4,0.653555607903597,1326
0,0.08403832647958875,0.1303435580926111,15,4,16,4,0.734790556894708,1105
0,0.09358736117139432,0.14050478547711553,15,4,16,4,0.7408826365545662,829
0,0.25023639875732107,0.3450353833285271,15,4,16,4,0.7455327336588433,561
0,0.005419140325155225,0.4143791615877792,25,4,1,4,0.7268809599346585,450
0,0.00680728810525455,0.3963932546301612,25,4,1,4,0.7314146140780611,323
0,0.007736261652919962,0.4134726227770751,25,4,1,4,0.7600097785415821,443
0,0.005603937046285479,0.35475889038305386,25,4,2,4,0.7209647466480685,1269
0,0.04962012972090357,0.376744430533104,25,4,2,4,0.7263428972613427,310
0,0.05263245621992496,0.39968588170503727,25,4,2,4,0.7101779226823287,275
0,0.1503724723223021,0.415698751664054,25,4,4,4,0.7023953208486542,262
0,0.10884927197546901,0.40214847126034015,25,4,4,4,0.71075826193157,570
0,0.007195798813077414,0.18524212901407378,25,4,4,4,0.81147883010114,2227
0,0.0984013000411863,0.27057163903366344,25,4,8,4,0.8147774466859815,2163
0,0.16571318843173688,0.360075453721161,25,4,8,4,0.7269899584406572,695
0,0.047120534055332675,0.17039084503897173,25,4,8,4,0.7376823815338531,1846
0,0.025353969601253135,0.045379077725051786,25,4,16,4,0.8113564876672615,558
0,0.1537077916984707,0.25648644299202694,25,4,16,4,0.8234723484334343,918
0,0.09519210691799174,0.12629489557728213,25,4,16,4,0.8222487089572404,1511
0,0.029944104142564654,0.33357487316142165,5,5,1,4,0.6663745478950304,271
0,0.013039075841765557,0.36131968397387104,5,5,1,4,0.6735823822545481,364
0,0.03998570725903161,0.341089603636064,5,5,1,4,0.6971554606633734,287
0,0.14233518953480462,0.3431234646536596,5,5,2,4,0.7025705147166497,253
0,0.08680119860762203,0.33216707712572924,5,5,2,4,0.7136827943853831,257
0,0.10764405397382193,0.3430888919870211,5,5,2,4,0.705357725575844,322
0,0.05517255973672586,0.24068498888098788,5,5,4,4,0.6981547225962629,1092
0,0.22162246743884206,0.343509503028975,5,5,4,4,0.7312508309447525,298
0,0.1903296657801139,0.3851739699890041,5,5,4,4,0.7022992689511303,267
0,0.09746812373737268,0.12642380959251276,5,5,8,4,0.7270370187330651,823
0,0.025777662750312125,0.047953271360725025,5,5,8,4,0.7609217552683462,995
0,0.16955102796125465,0.33967077291567227,5,5,8,4,0.7557412524458388,568
0,0.13801817749316336,0.23698434457252193,5,5,16,4,0.798292640727164,742
0,0.11218538400581357,0.2029510311832804,5,5,16,4,0.7917057004451261,971
0,0.08509486160081314,0.19222172769336243,5,5,16,4,0.7909789620763648,1621
0,0.18800610770195192,0.278580230672538,5,5,32,4,0.9510211476534928,922
0,0.23144480646418342,0.24479484214791092,5,5,32,4,0.95107715458591,1436
0,0.12687039650676746,0.12843810375977216,5,5,32,4,0.9500905051013944,1557
0,0.035778932668770635,0.4268787243797272,15,5,1,4,0.7412774505767417,376
0,0.012560918154983836,0.42387673651610247,15,5,1,4,0.7408738124127291,392
0,0.03178996108288823,0.42436739679412105,15,5,1,4,0.7410469515463277,461
0,0.10730259935393682,0.4178385142313852,15,5,2,4,0.7533642615590777,420
0,0.07755844614277263,0.42309321575601144,15,5,2,4,0.7526556146614868,558
0,0.0698668296496987,0.435327820824017,15,5,2,4,0.7534331482919779,352
0,0.03269576918713746,0.13227362130490838,15,5,4,4,0.7751200181089298,2247
0,0.09635100177694578,0.353316945350007,15,5,4,4,0.7755939450261864,2257
0,0.24017418018454095,0.4296563035114034,15,5,4,4,0.7755854960451735,376
0,0.07778451287594645,0.21801766960793278,15,5,8,4,0.8202701661854214,1667
0,0.22524415927735775,0.4247273887504365,15,5,8,4,0.8214418532872441,396
0,0.23324757472670432,0.40037235667460846,15,5,8,4,0.8211878497848224,799
0,0.1312469292010866,0.2334793606679808,15,5,16,4,0.9100506872992807,933
0,0.1385787824465622,0.24257627498827772,15,5,16,4,0.9106346802028408,2171
0,0.21375094693252994,0.31849271784613875,15,5,16,4,0.9106568569224098,1217
0,0.14712239999130616,0.16607381445314784,15,5,32,4,1.0932349817323432,1327
0,0.19062005909215607,0.23583615441224137,15,5,32,4,1.0916478239454315,1082
0,0.09565497954067159,0.12975762878140396,15,5,32,4,1.0929425243194437,1707
0,0.05028506477617445,0.41823281823204506,25,5,1,4,0.8503962294342592,388
0,0.018949048635792387,0.4244444508155474,25,5,1,4,0.8496952340251109,732
0,0.05859463290625877,0.4194829070748335,25,5,1,4,0.849464378822809,348
0,0.18171782683308912,0.4357450689329718,25,5,2,4,0.8641982258312286,252
0,0.11027066956443254,0.4226682700320912,25,5,2,4,0.8626970110761092,267
0,0.1371696790282071,0.42681159518992373,25,5,2,4,0.8628428619056497,337
0,0.1964875802527617,0.4166441175902067,25,5,4,4,0.887810224203894,394
0,0.1651550203689378,0.41075189932127576,25,5,4,4,0.8887412630556002,1185
0,0.06545077252984699,0.23902081186590607,25,5,4,4,0.8882468864537667,2760
0,0.23329978998003842,0.41678348783478825,25,5,8,4,0.9406912085985897,396
0,0.14979715058216592,0.330585534961102,25,5,8,4,0.9396950345044557,919
0,0.1433233623537593,0.3178432099082995,25,5,8,4,0.9401116006904178,1080
0,0.11941508930492573,0.1831507552772973,25,5,16,4,1.0432020303555647,2438
0,0.21085854574569507,0.2806826044906786,25,5,16,4,1.044224821690094,961
0,0.188454989865944,0.24289732202736136,25,5,16,4,1.0433110653791788,1696
0,0.2287486576726826,0.279207469953181,25,5,32,4,1.3517563745909529,1012
0,0.2677042626194359,0.2858964581269755,25,5,32,4,1.3462079292628257,1418
